0:6.123233995736766e-17,0.0,1.0;90,0
5114:0.20552500068366683,-0.03123933313511987,0.9781531465773914;78.00152840549882,-8.64267533926038
5115:0.18361093099441342,-0.06245498750571501,0.9810129461709595;78.81706012200958,-18.785660972977166
5116:0.19370592982890195,-0.09355305308917392,0.9765888792152072;77.57776702736363,-25.778885077780497
5117:0.22696019432905556,-0.09393133515204369,0.9693636956615777;75.78094076988938,-22.48304937574789
5118:0.2488767226856033,-0.06270942485788628,0.9665029254685504;75.12829082511863,-14.14241794378849
5119:0.2600174109742287,-0.09417492877306241,0.9610005352656406;73.94580282337978,-19.909728905306274
5120:0.2927092448929597,-0.09426261853860075,0.9515439331425741;72.09059390511419,-17.850374936616827
5121:0.24588699596270724,-0.2499055730348412,0.936529118491552;69.47660564110399,-45.464392728528814
5122:0.25570708230666706,-0.27941433039526903,0.925495283633566;67.74315840866225,-47.53669093206818
5123:0.2881613532912209,-0.2792216075627086,0.9159685192949968;66.34364619221638,-44.097316353096886
5124:0.26530586840979115,-0.30866059133880963,0.9134229226057899;65.98274468997954,-49.31965040748601
5125:0.274620816850353,-0.33750368524413443,0.9003747383168149;64.20736871657392,-50.865356559168035
5126:0.30928866584924714,-0.34095018536752064,0.8877462994994945;62.59139994727904,-47.787652258376376
5127:0.33216804450750903,-0.311495608477132,0.8903004414845131;62.91102452715382,-43.16047350862609
5128:0.3436143083592073,-0.3438905299873776,0.8738812908375051;60.91285200400827,-45.023019958217134
5129:0.3774024214588909,-0.3463112690348035,0.8588573322831153;59.18852530733704,-42.54005329598952
5130:0.5119257386235434,-0.2522108422280658,0.8211709500447206;55.2021827001396,-26.22811961001473
5131:0.5231388114367743,-0.28429888256269176,0.8034301023375487;53.45891279126078,-28.52179209958398
5132:0.5547306426491304,-0.2837204697632423,0.7821614981213331;51.45890838699301,-27.087758398207466
5133:0.5336453093678821,-0.31601414623328355,0.7844474126224817;51.6695995337689,-30.633174249054193
5134:0.5433814182401077,-0.34717208572892494,0.7643351210051761;49.8478776543011,-32.57493584489398
5135:0.5735654683946216,-0.34504426856208414,0.7429448877256742;47.982882729855895,-31.030182962934898
5136:0.5946449062531137,-0.3127576191706397,0.7406619384833668;47.78783313590845,-27.74243794462902
5137:0.6030304949151224,-0.3423985613648657,0.7204980550825192;46.09561610863562,-29.587755599583566
5138:0.631611155038622,-0.33924156169418973,0.6971244592252269;44.19675183459035,-28.24047145802441
5139:0.32645244591739353,-0.494758819363451,0.8053834560112564;53.647304013436965,-56.58231833347003
5140:0.3347464231533997,-0.5200166852048024,0.7858291667370298;51.797431207824864,-57.22970609312411
5141:0.3678431943753455,-0.5215737012029183,0.7698391121300805;50.339443461307894,-54.806351083170114
5142:0.3427176215770909,-0.5447449590629496,0.7653741316742075;49.94028791542961,-57.8246028300604
5143:0.3503353155789536,-0.5688148465768511,0.7441201764311651;48.083584310776615,-58.370919962230296
5144:0.3838790392989528,-0.5699151704514319,0.726521563118555;46.59557155178604,-56.03688610061487
5145:0.4089031535914267,-0.5465875170275014,0.7307806081257883;46.95187516144781,-53.19976821844311
5146:0.41693536459288544,-0.5701643264474681,0.7078683087965605;45.061738690929616,-53.82368509689578
5147:0.4493513130284015,-0.569559144365107,0.6882483407533495;43.49160931090167,-51.72847295135128
5148:0.38585602192851215,-0.6812662446164663,0.6220863559729314;38.468651825289754,-60.47362340826484
5149:0.3921789112471765,-0.7006065627173141,0.596109172761508;36.59174296341693,-60.761183252268225
5150:0.4239696281433392,-0.6989930443837061,0.5758979756130395;35.16254225778974,-58.761369927421086
5151:0.39810800815755265,-0.7192090880308978,0.5694280477238458;34.71035140691216,-61.03390007299932
5152:0.40363078297488436,-0.7369731465178484,0.5421741162640134;32.83176335706589,-61.29104212650995
5153:0.4279503121098065,-0.7436154407191203,0.5137067321821155;30.91105028293362,-60.07959481238726
5154:0.4538923588592616,-0.723450990691927,0.5201926476182114;31.34517480531674,-57.89588498106694
5155:0.45174769338041093,-0.7491453071090266,0.48446396188158364;28.977358620000057,-58.90928974183291
5156:0.47485442454569843,-0.7535660548354282,0.4545893492913599;27.038515353837727,-57.78320458838183
5157:0.6002125054225008,-0.688112123260058,0.4077335578008991;24.06253974535656,-48.90311888469621
5158:0.5968233968620381,-0.7117529340994663,0.37041813367984433;21.741406975999084,-50.01928973890558
5159:0.6176305212821488,-0.7104435066807255,0.33734635465043195;19.715281881439427,-48.99763884034958
5160:0.5922929192035099,-0.734010843043049,0.33229080660863425;19.407877243271304,-51.0990151017575
5161:0.5866600305795112,-0.754756446523702,0.29355189481820926;17.07072294662778,-52.14265202313398
5162:0.6061751079816309,-0.7512566571724681,0.26108460988251864;15.134428784767795,-51.10058184698294
5163:0.6317601946800616,-0.7279980587343607,0.2662665636102526;15.442225800416505,-49.04839907867679
5164:0.6248953624071354,-0.7466135843417777,0.2281971553687255;13.190953950517583,-50.0715798823514
5165:0.6426860660765183,-0.7408811569924879,0.19506340426784716;11.248427515999914,-49.05961210152358
5166:0.7916515028394002,-0.4469044626461849,0.41661048872903306;24.620777644760324,-29.445671358373623
5167:0.7932264672832716,-0.4737058246241453,0.38261542483080746;22.495782474712687,-30.845168565708658
5168:0.8149379192986608,-0.4644013832636057,0.34670959449086386;20.286190753455568,-29.677131136304286
5169:0.7933494963377953,-0.49964445502176436,0.3477815337630373;20.35168370318069,-32.20235875201577
5170:0.7920257748011063,-0.5245307448303776,0.31235023575850984;18.200923833380493,-33.51510447126762
5171:0.8129865247321029,-0.5138651785840384,0.2738530424202226;15.893674643503433,-32.29579195181985
5172:0.8345804460713466,-0.47860635029359316,0.2727846045765753;15.830034465263328,-29.83295182056238
5173:0.8323736296036386,-0.5020514407441887,0.23473067883672338;13.575747750432619,-31.096546064765146
5174:0.8500367711553529,-0.4891937686322227,0.19526122097125556;11.25998379440869,-29.92030566064267
5175:0.7649568241218608,-0.6332208267998206,0.11778133016886795;6.7640740731834885,-39.61749395134947
5176:0.7561296944382322,-0.6496719874056772,0.07870320177161257;4.514029629634147,-40.6694050676952
5177:0.7715329093507983,-0.6349705093652597,0.03936269839728619;2.2558993010360657,-39.45433280489448
5178:0.7458879046365549,-0.6649077770068115,0.03935583556157719;2.255505784587931,-41.71480860527127
5179:0.7343225094356854,-0.6788007455329417,0.0;0.0,-42.75
5180:0.7463601365321424,-0.6647110830162177,-0.033252409102630394;-1.9055739830423999,-41.68837722222045
5181:0.7719638224966071,-0.6347959217246477,-0.0332564958794786;-1.905808267686293,-39.430906845699845
5182:0.7573699695827254,-0.6495899147064009,-0.06651069001290104;-3.813597046040904,-40.619416681969135
5183:0.7672848191431545,-0.6335296720046713,-0.0995698799944557;-5.714402801289334,-39.545714702188846
5184:0.8536394361248557,-0.49394784618681203,-0.16527322329962488;-9.513106928218656,-30.055286702297987
5185:0.8381398317880485,-0.507929989971036,-0.1988183785728199;-11.467869535418556,-31.21672563074002
5186:0.8425877621261185,-0.4863688289081201,-0.2312817013553886;-13.37254260525874,-29.994928196555772
5187:0.8213110266687288,-0.5211038125730574,-0.23216161180131098;-13.42436834847434,-32.39422999318491
5188:0.8032569863709035,-0.5333921987044595,-0.2650867333676972;-15.372106570687043,-33.58562376065239
5189:0.807234099691402,-0.51090849285309,-0.29554292450673814;-17.19009634919559,-32.33022804174806
5190:0.8285067603365427,-0.4761843003297263,-0.294660924107924;-17.137206016736673,-29.888137921268385
5191:0.8100711278356449,-0.48760376949891693,-0.3256183837217015;-19.003043780697613,-31.044875034210037
5192:0.8117599184791521,-0.4636108095507392,-0.355120897749525;-20.80085410416981,-29.73147100896262
5193:0.929231166059355,0.10207148478171066,0.355120897749525;20.80085410416981,6.268528991037382
5194:0.9419676137451991,0.08166812620381438,0.3256183837217015;19.003043780697613,4.9551249657899605
5195:0.9501701581738176,0.10174286372914178,0.29466092410792394;17.13720601673667,6.111862078731613
5196:0.9533705824593255,0.0611466456575569,0.295542924506738;17.19009634919558,3.669771958251947
5197:0.9633686209108041,0.04061925697078648,0.26508673336769706;15.372106570687034,2.414376239347606
5198:0.9707517141863614,0.0611726688158879,0.23216161180131087;13.424368348474335,3.6057700068150846
5199:0.9675482436193398,0.1017800122189405,0.23128170135538856;13.372542605258735,6.005071803444226
5200:0.9766231248811297,0.08172223864464422,0.19881837857281984;11.467869535418554,4.783274369259978
5201:0.9809440702838947,0.10214446942941924,0.16527322329962485;9.513106928218654,5.944713297702012
5202:0.9931258563067533,-0.06153757009232182,0.09956987999445568;5.714402801289333,-3.545714702188848
5203:0.9945445483240098,-0.08035838172212598,0.06651069001290104;3.813597046040904,-4.619416681969133
5204:0.9976555324475556,-0.05981173846831882,0.0332564958794786;1.905808267686293,-3.4309068456998477
5205:0.9945254060107999,-0.0990630813569066,0.033252409102630394;1.9055739830423999,-5.688377222220443
5206:0.9930684569549263,-0.11753739745783764,0.0;0.0,-6.75
5207:0.9942589762088692,-0.0994997810818769,-0.039355835561577186;-2.255505784587931,-5.714808605271274
5208:0.9974095364298808,-0.06020626722870694,-0.039362698397286205;-2.2558993010360666,-3.454332804894477
5209:0.9935893857766644,-0.08115379536933283,-0.07870320177161257;-4.514029629634147,-4.669405067695207
5210:0.9910609341150542,-0.0626560702138931,-0.11778133016886798;-6.764074073183491,-3.61749395134947
5211:0.9752350764236855,0.10387300562563408,-0.19526122097125562;-11.259983794408695,6.079694339357331
5212:0.9685028447805241,0.08308879626570068,-0.2347306788367234;-13.57574775043262,4.903453935234852
5213:0.9565075184008431,0.10335340704912527,-0.2727846045765752;-15.830034465263324,6.16704817943762
5214:0.9597622883444354,0.062135827258035715,-0.2738530424202226;-15.893674643503433,3.7042080481801563
5215:0.9490737479823622,0.04118678322368515,-0.31235023575850984;-18.200923833380493,2.4848955287323813
5216:0.9355168670675844,0.06209827860320113,-0.3477815337630373;-20.35168370318069,3.7976412479842394
5217:0.9322669102997478,0.10329987922617614,-0.34670959449086386;-20.286190753455568,6.322868863695712
5218:0.9201709900592873,0.08301075674183298,-0.3826154248308075;-22.495782474712687,5.154831434291343
5219:0.9031433717466617,0.10376777318140482,-0.4166104887290331;-24.620777644760327,6.5543286416263715
5220:0.9554229672854526,-0.22162405532545276,-0.19506340426784713;-11.24842751599991,-13.059612101523571
5221:0.9443994219307836,-0.23671879971481682,-0.22819715536872548;-13.190953950517581,-14.071579882351395
5222:0.9390112564874021,-0.21762347596970716,-0.26626656361025264;-15.442225800416509,-13.048399078676796
5223:0.9319835476967273,-0.2514786140114405,-0.2610846098825186;-15.13442878476779,-15.100581846982944
5224:0.9182526429986556,-0.26578067776763326,-0.2935518948182093;-17.070722946627782,-16.142652023133984
5225:0.9106157858470567,-0.24568620313222841,-0.33229080660863436;-19.407877243271308,-15.099015101757503
5226:0.9172618037757956,-0.21172675867267893,-0.3373463546504319;-19.715281881439424,-12.99763884034958
5227:0.9011981486415354,-0.2250162285840964,-0.37041813367984433;-21.741406975999084,-14.019289738905579
5228:0.890044275099091,-0.20389834282395347,-0.4077335578008991;-24.06253974535656,-12.903118884696212
5229:0.827100312972092,-0.33053531701215433,-0.45458934929136;-27.03851535383773,-21.78320458838182
5230:0.8058081244572368,-0.34054065278129403,-0.4844639618815838;-28.97735862000006,-22.909289741832904
5231:0.7924404550191687,-0.318492911401444,-0.5201926476182115;-31.345174805316752,-21.895884981066942
5232:0.7833052646765629,-0.3500546466492794,-0.5137067321821157;-30.911050282933637,-24.07959481238726
5233:0.7597261097383189,-0.35897557832701654,-0.5421741162640135;-32.8317633570659,-25.291042126509947
5234:0.744816639455501,-0.3478503587113629,-0.5694280477238458;-34.71035140691216,-25.033900072999323
5235:0.753856437210549,-0.31629415701372154,-0.5758979756130395;-35.16254225778974,-22.76136992742109
5236:0.7290856092589888,-0.3362856353177156,-0.5961091727615081;-36.59174296341694,-24.76118325226822
5237:0.712602330592314,-0.32435549039090084,-0.6220863559729315;-38.468651825289754,-24.47362340826485
5238:0.6983113140508032,-0.19666095219667265,-0.6882483407533496;-43.491609310901694,-15.728472951351279
5239:0.6724419779806522,-0.21620417121546345,-0.7078683087965605;-45.061738690929616,-17.823685096895765
5240:0.6520856819048998,-0.20185134689152998,-0.7307806081257883;-46.95187516144781,-17.19976821844311
5241:0.6455523988262838,-0.2354326202831762,-0.726521563118555;-46.59557155178604,-20.03688610061488
5242:0.6177682021359625,-0.2542589456789126,-0.744120176431165;-48.0835843107766,-22.370919962230307
5243:0.5974574333254974,-0.23926356581824457,-0.7653741316742075;-49.94028791542961,-21.824602830060407
5244:0.6041647250654979,-0.20574918328222022,-0.7698391121300805;-50.339443461307894,-18.80635108317011
5245:0.576473683646728,-0.22394332490198837,-0.7858291667370298;-51.797431207824864,-21.229706093124108
5246:0.5549175140659119,-0.2083843596968666,-0.8053834560112565;-53.64730401343697,-20.582318333470035
5247:0.7103853451915468,0.0967995335062201,-0.6971244592252269;-44.19675183459035,7.75952854197559
5248:0.6891187432890967,0.07744617660003053,-0.7204980550825192;-46.09561610863562,6.4122444004164345
5249:0.6649121508678741,0.09649727721712506,-0.7406619384833668;-47.78783313590845,8.257562055370979
5250:0.6668361437667122,0.05798664646818366,-0.7429448877256742;-47.982882729855895,4.969817037065097
5251:0.6436674337828885,0.03852346668400714,-0.7643351210051761;-49.8478776543011,3.4250641551060275
5252:0.6174765789188141,0.05800802803587928,-0.7844474126224816;-51.669599533768896,5.366825750945805
5253:0.6155532251040088,0.09652780905337835,-0.782161498121333;-51.45890838699299,8.91224160179253
5254:0.5903348792830414,0.0774906507893238,-0.8034301023375487;-53.45891279126078,7.478207900416015
5255:0.5624024359343147,0.09685954190372617,-0.8211709500447208;-55.20218270013963,9.77188038998526
5256:0.5088816293198476,-0.058340124479706115,-0.8588573322831153;-59.18852530733704,-6.5400532959895346
5257:0.4801235969026153,-0.07624186003417568,-0.8738812908375051;-60.91285200400827,-9.023019958217139
5258:0.45182211781159715,-0.056761763086821085,-0.8903004414845131;-62.91102452715382,-7.160473508626085
5259:0.450625277565009,-0.09403917771021067,-0.8877462994994945;-62.59139994727904,-11.787652258376392
5260:0.4205525966219285,-0.11162815090952821,-0.9003747383168149;-64.20736871657392,-14.865356559168047
5261:0.39606309980375076,-0.09376878708899498,-0.9134229226057899;-65.98274468997954,-13.319650407486018
5262:0.3972497749814375,-0.0565180319697029,-0.9159685192949968;-66.34364619221638,-8.097316353096893
5263:0.3711069978536427,-0.07575008987507265,-0.9254952836335659;-67.74315840866224,-11.536690932068195
5264:0.3458175687252134,-0.05764910561681798,-0.9365291184915518;-69.47660564110396,-9.46439272852882
5265:0.29221293054852326,0.09579011702573656,-0.9515439331425741;-72.09059390511419,18.149625063383162
5266:0.26571313858002615,0.07664528168846492,-0.9610005352656406;-73.94580282337978,16.090271094693712
5267:0.23820517326820262,0.09555307681597237,-0.9665029254685504;-75.12829082511863,21.857582056211502
5268:0.23882610778935937,0.05741180864172036,-0.9693636956615777;-75.78094076988938,13.516950624252097
5269:0.21170049405553398,0.038171479010225835,-0.9765888792152072;-77.57776702736363,10.221114922219497
5270:0.18525448411545617,0.05739665112260867,-0.9810129461709595;-78.81706012200958,17.214339027022827
5271:0.1846352376302842,0.09553141298000739,-0.9781531465773914;-78.00152840549882,27.35732466073961
5272:0.15856773623647133,0.07661374344934145,-0.9843711735618426;-79.85696163513383,25.788021083538084
5273:0.13178520628297447,0.09574755692654019,-0.986643332084879;-80.625,35.999999999999986
5274:0.050337469585680084,0.15492280144690745,0.986643332084879;80.625,71.99999999999999
5275:0.08325156485242749,0.1551855973024001,0.9843711735618426;79.85696163513383,61.78802108353808
5276:0.09322108932304662,0.18581240633007468,0.9781531465773914;78.00152840549882,63.35732466073961
5277:0.11613712087272221,0.15532471986251564,0.9810129461709595;78.81706012200958,53.21433902702282
5278:0.14883266498809708,0.15531580352857252,0.9765888792152072;77.57776702736363,46.221114922219485
5279:0.15946856547497396,0.18682559288995218,0.9693636956615777;75.78094076988938,49.51695062425209
5280:0.13654734395840645,0.21731755087575913,0.9665029254685504;75.12829082511863,57.8575820562115
5281:0.16991547850566463,0.21818959962230858,0.9610005352656406;73.94580282337978,52.090271094693705
5282:0.1801012086867635,0.24925428367257252,0.9515439331425741;72.09059390511419,54.14962506338316
5283:0.3136575841415409,0.15662736072579722,0.9365291184915518;69.47660564110396,26.535607271471168
5284:0.3447566536834612,0.1568481103265422,0.9254952836335659;67.74315840866224,24.463309067931796
5285:0.35460228465199267,0.18777351085847616,0.9159685192949968;66.34364619221638,27.902683646903103
5286:0.3755376887623194,0.15693950674496346,0.9134229226057898;65.98274468997953,22.680349592513977
5287:0.4058475785409516,0.15688554297121535,0.9003747383168149;64.20736871657392,21.13464344083195
5288:0.41983834944079296,0.18879159955830832,0.8877462994994945;62.59139994727904,24.212347741623603
5289:0.39889549898061455,0.21965314654128631,0.890300441484513;62.9110245271538,28.83952649137391
5290:0.43324199023007803,0.2205286090865691,0.873881290837505;60.91285200400826,26.976980041782856
5291:0.44598535103104764,0.2519149647187392,0.8588573322831153;59.18852530733704,29.459946704010456
5292:0.3980605180739132,0.4089328731630395,0.8211709500447208;55.20218270013963,45.77188038998526
5293:0.432043087987753,0.4096813893501665,0.8034301023375487;53.45891279126078,43.47820790041601
5294:0.441255397453771,0.4399057456711683,0.7821614981213331;51.45890838699301,44.91224160179253
5295:0.4654527825797658,0.4098731072156931,0.7844474126224817;51.6695995337689,41.36682575094581
5296:0.49809436707202814,0.4095043641881227,0.7643351210051761;49.8478776543011,39.42506415510602
5297:0.50539807714683,0.4388686334412294,0.7429448877256742;47.982882729855895,40.9698170370651
5298:0.4812055533839046,0.4688934935297689,0.7406619384833668;47.78783313590845,44.25756205537097
5299:0.5119870540112496,0.4677091074024418,0.7204980550825192;46.09561610863562,42.41224440041644
5300:0.5178164785911274,0.4958664970023881,0.6971244592252269;44.19675183459035,43.759528541975584
5301:0.57142295279385,0.15758584265003714,0.8053834560112564;53.647304013436965,15.41768166652997
5302:0.5980075906068607,0.15766877395972448,0.7858291667370298;51.797431207824864,14.770293906875903
5303:0.6097158655843657,0.1886645294947544,0.7698391121300805;50.339443461307894,17.19364891682989
5304:0.6239888123748382,0.15760837729953237,0.7653741316742076;49.940287915429614,14.1753971699396
5305:0.6492346326459492,0.1574152305246574,0.744120176431165;48.0835843107766,13.629080037769697
5306:0.6606466835210022,0.188977188772805,0.726521563118555;46.59557155178604,15.963113899385128
5307:0.6461936433078536,0.21998517708206045,0.7307806081257883;46.95187516144781,18.800231781556892
5308:0.671098611242018,0.22033862891134648,0.7078683087965605;45.061738690929616,18.17631490310423
5309:0.6805401278344,0.2513550394509724,0.6882483407533494;43.491609310901666,20.271527048648714
5310:0.767158769432241,0.15644803672634888,0.6220863559729315;38.468651825289754,11.526376591735147
5311:0.7875063852422926,0.15648497484489832,0.596109172761508;36.59174296341693,11.238816747731777
5312:0.79579570990123,0.1872183478925088,0.5758979756130395;35.16254225778974,13.238630072578918
5313:0.8070306298679241,0.15637538463706954,0.5694280477238458;34.71035140691216,10.96609992700068
5314:0.8256318847224481,0.15613845965358542,0.5421741162640135;32.8317633570659,10.70895787349005
5315:0.8394642297036048,0.17721512452075178,0.5137067321821156;30.91105028293363,11.920405187612745
5316:0.8283032314221858,0.2081186348684817,0.5201926476182114;31.34517480531674,14.10411501893306
5317:0.8520772404022037,0.19813895635781648,0.48446396188158375;28.97735862000006,13.0907102581671
5318:0.8634219939488219,0.218748677427541,0.45458934929136;27.03851535383773,14.216795411618175
5319:0.8399093831800901,0.35819767432112315,0.4077335578008991;24.06253974535656,23.09688111530379
5320:0.8613458382384459,0.3476690282300828,0.3704181336798442;21.741406975999073,21.980710261094426
5321:0.8665302538091252,0.36786241482048454,0.33734635465043183;19.71528188143942,23.002361159650423
5322:0.8811143729892232,0.33648221580819276,0.3322908066086343;19.407877243271304,20.900984898242505
5323:0.8991039560517369,0.324714276342688,0.2935518948182092;17.070722946627775,19.857347976866016
5324:0.9018059491473828,0.3443557122582419,0.26108460988251847;15.134428784767783,20.899418153017056
5325:0.8875919341353002,0.37587587786547877,0.2662665636102525;15.442225800416502,22.9516009213232
5326:0.9031750012326254,0.36359452062712516,0.22819715536872542;13.190953950517578,21.928420117648603
5327:0.903220768623623,0.38228590275131824,0.1950634042678471;11.24842751599991,22.94038789847643
5328:0.6696651693608798,0.6148042465905877,0.41661048872903306;24.620777644760324,42.55432864162638
5329:0.6956414700942968,0.6080200504642805,0.38261542483080746;22.495782474712687,41.154831434291346
5330:0.6935016281531808,0.6315440988853178,0.34670959449086386;20.286190753455568,42.32286886369571
5331:0.7203485916263737,0.6001215804446041,0.3477815337630373;20.35168370318069,39.79764124798424
5332:0.7436078072646078,0.5911723599735741,0.3123502357585098;18.200923833380493,38.48489552873238
5333:0.7399414789295707,0.6144030590066322,0.27385304242022257;15.893674643503429,39.70420804818015
5334:0.7130812291960331,0.6458356757521808,0.2727846045765752;15.830034465263324,42.16704817943762
5335:0.7346968914522131,0.6364919371864078,0.2347306788367234;13.57574775043262,40.90345393523486
5336:0.7279267295192713,0.6572638222481076,0.1952612209712556;11.259983794408694,42.07969433935733
5337:0.838613452198517,0.5318411755922418,0.11778133016886795;6.7640740731834885,32.38250604865053
5338:0.8515317026095423,0.5183623881820428,0.07870320177161254;4.514029629634146,31.33059493230479
5339:0.8423096212960255,0.5375547226534527,0.03936269839728619;2.2558993010360657,32.54566719510552
5340:0.8628569124890686,0.5039137493431608,0.03935583556157718;2.25550578458793,30.28519139472872
5341:0.8724960070727971,0.4886212414969549,0.0;0.0,29.25
5342:0.8628157730686207,0.5044236503504467,-0.0332524091026304;-1.9055739830424003,30.31162277777955
5343:0.8422767380679115,0.5380184959566884,-0.033256495879478605;-1.9058082676862935,32.569093154300155
5344:0.8518369129314348,0.5195673217990627,-0.06651069001290105;-3.8135970460409045,31.380583318030865
5345:0.8396265714675167,0.5339597920102156,-0.09956987999445573;-5.714402801289335,32.45428529781115
5346:0.7335614106571517,0.6592210694864371,-0.1652732232996249;-9.513106928218658,41.944713297702016
5347:0.7420695784687525,0.6401593497348006,-0.19881837857281986;-11.467869535418556,40.783274369259985
5348:0.7229381818052367,0.6510523480537455,-0.2312817013553886;-13.37254260525874,42.005071803444224
5349:0.7493982415220275,0.6200832698997049,-0.23216161180131095;-13.424368348474339,39.605770006815085
5350:0.7555061859578903,0.5991155370809581,-0.26508673336769717;-15.37210657068704,38.414376239347604
5351:0.7353519066020708,0.6098458438250632,-0.29554292450673814;-17.19009634919559,39.66977195825194
5352:0.708900850684558,0.6408077119562267,-0.294660924107924;-17.137206016736673,42.11186207873161
5353:0.7140644875057197,0.6197455734942046,-0.3256183837217015;-19.003043780697613,40.95512496578997
5354:0.6917676916105817,0.6287659412097147,-0.355120897749525;-20.80085410416981,42.268528991037385
5355:0.19007247128562202,0.9152931790639258,0.355120897749525;20.80085410416981,78.26852899103737
5356:0.21341299719833023,0.9211012760871045,0.3256183837217015;19.003043780697613,76.95512496578996
5357:0.19685551288751138,0.9351057944690853,0.294660924107924;17.137206016736673,78.1118620787316
5358:0.2364537961148635,0.9256046575492558,0.29554292450673814;17.19009634919559,75.66977195825196
5359:0.25906606667986093,0.9287700452143518,0.26508673336769717;15.37210657068704,74.4143762393476
5360:0.2418001117056819,0.9421431377370092,0.23216161180131098;13.42436834847434,75.60577000681508
5361:0.20219030630658408,0.9516448153874462,0.2312817013553886;13.37254260525874,78.00507180344422
5362:0.22407067509861917,0.9540773474422941,0.1988183785728199;11.467869535418556,76.78327436925998
5363:0.20598322499469612,0.964497627099692,0.16527322329962488;9.513106928218656,77.94471329770201
5364:0.3654184741852313,0.9255026621906752,0.09956987999445571;5.714402801289334,68.45428529781115
5365:0.3837565296708365,0.9210359678367638,0.06651069001290105;3.8135970460409045,67.38058331803087
5366:0.36517685767971764,0.9303439515023385,0.033256495879478605;1.9058082676862935,68.56909315430015
5367:0.40153984084374467,0.9152376923532222,0.0332524091026304;1.9055739830424003,66.31162277777956
5368:0.4186597375374281,0.9081431738250813,0.0;0.0,65.25
5369:0.4018728356262374,0.9148493549175062,-0.039355835561577165;-2.2555057845879296,66.28519139472873
5370:0.3654760598781405,0.9299880792950167,-0.039362698397286185;-2.2558993010360653,68.54566719510554
5371:0.3842178515436424,0.9198817579374452,-0.07870320177161254;-4.514029629634146,67.3305949323048
5372:0.3658441349650315,0.9231931689388413,-0.11778133016886792;-6.764074073183487,68.38250604865053
5373:0.20257511325804706,0.9596021983474735,-0.1952612209712556;-11.259983794408694,78.07969433935733
5374:0.22026169701804882,0.9467767916671703,-0.23473067883672344;-13.575747750432622,76.90345393523485
5375:0.19728214717789225,0.9416306674651596,-0.2727846045765753;-15.830034465263328,78.16704817943763
5376:0.23748817424947422,0.9319892050066025,-0.2738530424202226;-15.893674643503433,75.70420804818016
5377:0.25410895847155424,0.9153501884230456,-0.3123502357585099;-18.200923833380497,74.48489552873238
5378:0.23003163793200587,0.9089188359384726,-0.3477815337630373;-20.35168370318069,75.79764124798425
5379:0.18984229530548968,0.9185599381646927,-0.34670959449086386;-20.286190753455568,78.3228688636957
5380:0.2054005525372285,0.9007863507507992,-0.38261542483080746;-22.495782474712687,77.15483143429135
5381:0.18039763336119669,0.8910063942299379,-0.4166104887290331;-24.620777644760327,78.55432864162637
5382:0.5060189356923739,0.8401756393970226,-0.1950634042678471;-11.24842751599991,58.94038789847642
5383:0.5169684278528325,0.8250270922127301,-0.22819715536872545;-13.190953950517578,57.9284201176486
5384:0.4971426610837716,0.8258034219072561,-0.2662665636102525;-15.442225800416502,58.951600921323205
5385:0.5271691292805973,0.8086578606654546,-0.2610846098825185;-15.134428784767788,56.89941815301705
5386:0.5365281173125462,0.7911794135224284,-0.29355189481820926;-17.07072294662778,55.85734797686602
5387:0.5150572176255588,0.7901258649197613,-0.3322908066086343;-19.407877243271304,56.900984898242505
5388:0.4848135991674418,0.8069406490358358,-0.33734635465043183;-19.71528188143942,59.00236115965043
5389:0.492488693696539,0.787556533096017,-0.3704181336798443;-21.74140697599908,57.98071026109442
5390:0.4689576543562541,0.783474354566696,-0.4077335578008991;-24.06253974535656,59.096881115303795
5391:0.5699458198713079,0.6844781120840028,-0.45458934929135997;-27.03851535383773,50.21679541161819
5392:0.5728818115537437,0.6611362186636731,-0.4844639618815836;-28.977358620000047,49.09071025816711
5393:0.5477823264132976,0.6552359363108764,-0.5201926476182113;-31.345174805316738,50.104115018933065
5394:0.5749763913236188,0.6367947414444006,-0.5137067321821155;-30.91105028293362,47.920405187612744
5395:0.5761743419382372,0.6116129129975719,-0.5421741162640134;-32.83176335706589,46.70895787349005
5396:0.5609863496330362,0.6008710460579796,-0.5694280477238457;-34.71035140691216,46.966099927000684
5397:0.5337680695109924,0.6192198072214029,-0.5758979756130393;-35.16254225778974,49.23863007257892
5398:0.5451264884206092,0.5894836433454334,-0.5961091727615078;-36.59174296341691,47.23881674773178
5399:0.5286866331165959,0.5774937312873252,-0.6220863559729314;-38.468651825289754,47.52637659173514
5400:0.4028257434934544,0.6033619492719168,-0.6882483407533495;-43.49160931090167,56.271527048648714
5401:0.41341838481178533,0.5727195618285723,-0.7078683087965605;-45.061738690929616,54.17631490310422
5402:0.39347759628133333,0.5577948404314682,-0.7307806081257883;-46.95187516144781,54.800231781556896
5403:0.4233963896655928,0.5412041348159797,-0.7265215631185549;-46.59557155178604,51.963113899385135
5404:0.4327155001587354,0.5089621390147082,-0.744120176431165;-48.0835843107766,49.629080037769704
5405:0.41217767369667163,0.4942792772006054,-0.7653741316742075;-49.94028791542961,50.17539716993961
5406:0.38237626893006804,0.5110148044762399,-0.7698391121300805;-50.339443461307894,53.1936489168299
5407:0.39112292348560496,0.4790567601333469,-0.7858291667370297;-51.79743120782486,50.77029390687591
